Beat Strength,Zero Crossing Rate,Note Density,Chroma Features,Pitch Class Distribution,Harmonic-to-Noise Ratio,Pitch Variation,Spectral Centroid,Spectral Bandwidth,Spectral Contrast,RMS Energy,Dynamic Range,Crescendo Detection,Transient Strength,Silence Ratio,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Score
1.159817852,0.145615547,3.757333333,0.380956708,0.479480427,-2.23E-05,136.250449,1951.74333,1978.331889,17.92678438,0.045978506,0.133659237,0.038267247,1.159817852,0.000376667,-193.9671848,81.29419892,6.93975306,11.50381563,-2.851759718,2.044312448,-0.705647942,0.1568113,2.229687305,-1.29125681,-0.125386291,-2.443591821,0.205178674,22.75
1.101185045,0.130150567,4.084615385,0.40450358,0.499781355,-1.65E-05,130.2638187,1747.444178,1779.737105,17.54692294,0.048444959,0.13768823,0.033279386,1.101185045,0.000478846,-194.8634477,94.81877865,-6.440948438,7.646540204,-1.392084881,-0.968378597,-2.626964861,-1.320079453,0.112521257,0.590769705,-1.904196289,-2.279395427,-1.482977953,23.7
1.216169505,0.149685435,4.175291375,0.366749811,0.472593333,-1.82E-05,160.0278615,1948.390013,1909.960838,18.10990468,0.042444466,0.128851376,0.040606596,1.216169505,0.000477681,-196.05642,83.46573515,-3.476462333,5.846948477,-3.520298396,-2.799415813,-1.927022052,-1.024011283,0.592764885,1.095218763,-1.770439997,-2.228186827,-0.308537727,24.05
1.21551076,0.121828863,4.54025974,0.399016233,0.505463693,-2.70E-05,157.7894447,1692.578551,1768.373848,17.39380161,0.05357873,0.163788192,0.04371842,1.21551076,0.00040855,-186.4073628,97.49324032,-4.064868056,9.297067318,-0.843762166,-0.142802175,1.733618249,-0.220919406,0.810425657,1.280370486,0.100431836,-0.082154199,-0.623732101,24.35
1.26014546,0.137812548,4.909428571,0.37158565,0.49163044,-3.30E-05,193.5216303,1808.136266,1794.582939,17.74632042,0.051446596,0.16295199,0.038536133,1.26014546,0.000581423,-190.5944458,89.43773628,-11.74272312,7.026242056,-1.376101152,-2.59457165,-2.150651353,-0.513145796,-1.378401163,-0.701900838,-2.851532679,-2.897058742,-4.055862692,24.75
1.210729193,0.09594016,4.240740741,0.458195344,0.532814796,-6.68E-06,245.2954592,1580.979316,1725.533207,17.14317616,0.028558245,0.061630469,0.026893329,1.210729193,0.000417438,-254.2923263,86.05756241,-16.71050785,20.90631344,17.41536546,20.44138085,19.32093744,15.93012251,7.696312267,9.272131493,1.694757792,-1.664340806,-1.687866192,25.25
1.25745875,0.185297851,4.356410256,0.413633399,0.513787111,-1.88E-05,204.2773155,2257.856891,1977.98911,17.25545365,0.094246117,0.269831291,0.077732143,1.25745875,0.001221795,-117.0705972,64.96069162,-9.313876318,5.785023096,-2.173228132,-0.309991972,0.056020214,1.038676705,1.384560027,1.520500328,-1.870026756,-3.2362693,-1.772771203,25.15
1.263694688,0.186692498,4.217948718,0.403941974,0.517220244,-2.24E-05,177.2230265,2286.237682,2035.065526,17.36816962,0.076036009,0.195071481,0.046214791,1.263694688,0.001778446,-143.6621607,65.60074012,-3.538859736,7.293925294,-0.015608445,-0.66347234,0.05598472,-0.167020489,1.980600691,0.140744147,-3.463640425,-1.379539383,-1.810874278,26.1
1.274222615,0.229545262,4.067948718,0.412323861,0.498318998,-1.26E-05,205.917317,2622.781704,2138.489451,17.50990919,0.060208702,0.159507765,0.051389055,1.274222615,0.000396795,-139.9393982,49.88276927,0.421179293,9.150855604,-0.412759663,1.400421878,0.729044297,2.059787336,3.015099607,1.703596389,-0.898484077,-1.147145058,-0.471244396,26.25
1.190481244,0.140765779,4.28,0.433027066,0.436734144,-1.86E-08,98.38724293,2156.774952,2225.002589,17.57641327,0.058180775,0.158829982,0.045043107,1.190481244,0.004875583,-210.8354012,84.1168076,33.71980574,2.808534779,18.57657162,6.686521218,9.350238197,4.300594184,7.102849724,1.62773417,2.677933535,-1.141218104,-0.085323015,26.85
